acc,loss,val_acc,val_loss
0.9315333333651225,0.22244728164275487,0.9835,0.05012346513234079
0.9751166666348775,0.08341643389463425,0.9858,0.03915092246904969
0.9811333333651224,0.06079164631664753,0.9889,0.03179843683806248
0.9851999999682108,0.048483940415581066,0.9901,0.0304080265652854
0.9870833333333333,0.041576346937815346,0.9914,0.028074165353178977
0.9886499999682109,0.03761089880069097,0.992,0.02702351640348206
0.98975,0.03216425723383824,0.9916,0.0245402771019144
0.9912333333333333,0.02817457270572583,0.9935,0.025364244569440052
0.9913000000317892,0.026709156404187282,0.9927,0.024339295522692556
0.9917999999682109,0.023565533548345168,0.9932,0.023801823911748943
