acc,loss,val_acc,val_loss
0.9254999999682109,0.24102582827011745,0.9836,0.04903553829099983
0.9744499999682109,0.08607885475655397,0.9865,0.041675425395485945
0.9807166666666667,0.06281670102874438,0.9883,0.03581102412794135
0.9837166666348776,0.05297126280963421,0.9906,0.029343936805054545
0.9866500000317892,0.04424880866880218,0.9913,0.026803408158558886
0.9880833333651224,0.038467340991397696,0.9914,0.025286050007760057
0.9895333333015441,0.03407939632087946,0.9919,0.0259022291466521
0.9900999999682109,0.031235668001572292,0.9922,0.026181267794701854
0.9910166666666667,0.027907923100764554,0.9922,0.027262680870774783
0.9914666666348775,0.026215281694506605,0.9919,0.02641754156306706
